11 Demographic trends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POPULATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Mali,8.7,,13.3,,20.5,,2.0,,2.4,,23.3,,35.9,,17.3,,17.6,,91.6,,86.5,,6.3,,5.2,,101.7,,102.2,
161,Burkina Faso,8.8,,16.3,,27.9,,2.8,,3.1,,13.8,,25.7,,16.2,,16.7,,99.7,,93.9,,6.7,,5.6,,103.5,,103.8,
162,Liberia,2.2,,4.1,,6.5,,-2.2,,2.6,,40.9,,47.8,,17.5,,18.5,,92.7,,83.9,,6.4,,4.7,,100.2,,102.1,
163,Chad,6.1,,11.5,,19.0,,3.1,,2.6,,20.8,,27.6,,17.0,,17.1,,97.5,,93.9,,6.7,,5.8,,100.9,,101.0,
164,Guinea-Bissau,1.0,,1.6,,2.5,,2.6,,2.3,,28.1,,30.0,,18.6,,18.7,,81.3,,85.4,,5.9,,5.4,,100.5,,100.8,
165,Mozambique,13.5,,23.4,,33.9,,3.3,,2.1,,21.1,,38.4,,16.5,,17.9,,99.2,,89.3,,6.1,,4.6,,100.3,,101.3,
166,Burundi,5.7,,8.5,,11.9,,1.6,,2.0,,6.3,,11.0,,17.4,,20.3,,93.9,,68.7,,6.5,,4.0,,100.6,,100.9,
167,Niger,7.9,,15.9,,32.6,,3.3,,3.7,,15.4,,17.1,,15.4,,15.0,,104.8,,108.8,,7.8,,6.9,,104.0,,104.3,
168,Congo (Democratic Republic of the),37.0,,67.8,,108.6,,3.9,,2.6,,27.8,,35.2,,16.4,,16.6,,99.6,,96.2,,7.1,,5.5,,100.8,,100.7,
169,Zimbabwe,10.5,,12.6,,17.9,,2.3,,2.1,,29.0,,38.3,,16.8,,19.0,,96.1,,77.3,,4.8,,3.1,,100.8,,101.0,
OTHER COUNTRIES OR TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antigua and Barbuda,0.1,,0.1,,0.1,,1.9,,1.0,,35.4,,30.3,,..,,..,,..,,..,,..,,..,,..,,..,
,Bhutan,0.5,,0.7,,0.9,,-1.5,,1.7,,16.4,,34.7,,18.7,,24.2,,85.2,,53.2,,5.4,,2.4,,102.3,,103.0,
,Cuba,10.6,,11.2,,11.0,,0.6,,0.0,,73.4,,75.2,,28.2,,38.3,,45.5,,42.1,,1.7,,1.5,,106.4,,106.8,
,Dominica,0.1,,0.1,,0.1,,-0.0,,0.1,,67.7,,67.2,,..,,..,,..,,..,,..,,..,,..,,..,
,Eritrea,3.2,,5.2,,8.1,,0.3,,2.8,,15.8,,21.6,,16.5,,19.1,,95.8,,78.6,,6.1,,4.2,,100.6,,102.4,
,Grenada,0.1,,0.1,,0.1,,0.8,,0.4,,33.4,,39.3,,20.4,,25.0,,88.0,,52.4,,3.5,,2.2,,104.2,,104.9,
,Iraq,18.1,,31.5,,48.9,,3.0,,2.6,,69.7,,66.2,,17.0,,19.3,,95.6,,78.3,,5.8,,3.7,,105.8,,106.0,
,Kiribati,0.1,,0.1,,0.1,,1.5,,1.5,,35.0,,43.9,,..,,..,,..,,..,,..,,..,,..,,..,
,Korea (Democratic People's Rep. of),20.1,,24.0,,25.3,,1.5,,0.3,,58.4,,60.2,,26.2,,34.0,,44.6,,44.9,,2.4,,1.9,,104.7,,105.4,
,Lebanon,3.0,,4.3,,4.9,,3.2,,0.8,,83.1,,87.2,,21.9,,29.2,,69.3,,47.2,,3.0,,1.9,,103.3,,104.0,
,Marshall Islands,0.0,,0.1,,0.1,,1.5,,1.9,,65.1,,71.8,,..,,..,,..,,..,,..,,..,,..,,..,
,Monaco,0.0,,0.0,,0.0,,0.9,,0.3,,100.0,,100.0,,..,,..,,..,,..,,..,,..,,..,,..,
,Nauru,0.0,,0.0,,0.0,,1.7,,0.6,,100.0,,100.0,,..,,..,,..,,..,,..,,..,,..,,..,
,Occupied Palestinian Territories,2.2,,4.4,,7.3,,3.9,,2.9,,67.9,,74.1,,16.4,,17.6,,100.4,,90.1,,6.5,,4.5,,103.2,,104.5,
,Oman,1.8,,2.9,,4.0,,3.3,,1.9,,66.1,,73.0,,18.3,,24.3,,85.4,,51.5,,6.3,,2.8,,104.4,,104.9,
,Palau,0.0,,0.0,,0.0,,2.7,,0.5,,69.6,,83.4,,..,,..,,..,,..,,..,,..,,..,,..,
,Saint Kitts and Nevis,0.0,,0.1,,0.1,,1.1,,1.2,,34.6,,32.4,,..,,..,,..,,..,,..,,..,,..,,..,
,Saint Lucia,0.1,,0.2,,0.2,,1.2,,0.9,,29.4,,28.0,,21.4,,27.5,,78.8,,48.4,,3.2,,1.9,,97.9,,102.7,
,Saint Vincent and the Grenadines,0.1,,0.1,,0.1,,0.1,,0.0,,41.4,,49.3,,20.4,,27.8,,78.9,,49.8,,2.9,,2.1,,101.3,,102.0,
,Samoa,0.2,,0.2,,0.2,,0.8,,0.2,,21.2,,20.2,,18.5,,19.6,,81.1,,77.2,,4.7,,3.6,,108.7,,108.0,
,San Marino,0.0,,0.0,,0.0,,1.2,,0.6,,90.4,,94.1,,..,,..,,..,,..,,..,,..,,..,,..,
,Seychelles,0.1,,0.1,,0.1,,1.0,,0.3,,49.3,,55.3,,..,,..,,..,,..,,..,,..,,..,,..,
,Somalia,6.6,,9.4,,15.7,,-0.2,,2.7,,29.7,,37.5,,17.6,,17.6,,90.0,,90.8,,6.5,,6.2,,100.6,,101.2,
,Tuvalu,0.0,,0.0,,0.0,,0.7,,0.4,,40.7,,50.4,,..,,..,,..,,..,,..,,..,,..,,..,
,Vanuatu,0.1,,0.2,,0.4,,2.8,,2.4,,18.7,,25.6,,18.1,,20.5,,90.5,,71.2,,4.8,,3.6,,108.5,,106.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OECD,911.0,,"1,026.3",,"1,093.3",,0.7,,0.4,,72.0,,77.1,,34.5,,39.9,,49.1,,49.7,,1.7,,1.6,,105.4,,105.5,
,Non-OECD,19.3,,29.7,,36.3,,2.5,,1.2,,89.9,,91.7,,29.2,,35.5,,49.9,,39.6,,2.2,,1.9,,106.2,,106.5,
,Developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab States,226.4,,348.2,,477.9,,2.4,,1.9,,49.2,,55.3,,18.2,,23.1,,87.8,,61.9,,4.7,,2.6,,104.2,,104.3,
,East Asia and the Pacific,"1,606.6",,"1,974.3",,"2,204.3",,1.3,,0.8,,28.1,,45.3,,24.0,,32.2,,56.2,,42.5,,2.3,,2.8,,108.5,,116.0,
,Europe and Central Asia,399.6,,410.3,,416.4,,0.3,,0.2,,62.8,,64.4,,30.0,,34.3,,55.8,,43.5,,2.1,,1.6,,104.4,,105.6,
,Latin America and the Caribbean,437.2,,582.7,,683.6,,1.7,,1.0,,70.3,,79.5,,21.9,,27.7,,70.3,,53.2,,3.0,,2.2,,103.8,,104.2,
,South Asia,"1,200.0",,"1,719.1",,"2,158.2",,2.1,,1.4,,26.5,,31.7,,20.3,,24.5,,75.8,,56.8,,4.1,,2.5,,106.8,,107.5,
,Sub-Saharan Africa,483.1,,808.8,,"1,228.6",,2.8,,2.4,,28.3,,37.0,,17.2,,18.5,,94.2,,84.8,,6.1,,3.6,,101.3,,101.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very high human development,930.3,,"1,056.0",,"1,129.5",,0.7,,0.5,,72.3,,77.5,,34.4,,39.8,,49.1,,49.4,,1.7,,1.8,,105.5,,105.6,
,High human development,873.1,,"1,052.4",,"1,175.1",,1.2,,0.7,,67.8,,75.8,,25.3,,30.4,,65.0,,47.2,,2.7,,1.8,,104.2,,104.8,
,Medium human development,"2,739.1",,"3,597.3",,"4,239.7",,1.6,,1.1,,28.5,,39.9,,22.5,,28.6,,64.3,,49.5,,3.0,,2.7,,107.8,,112.2,
,Low human development,673.6,,"1,099.0",,"1,626.5",,2.7,,2.2,,24.2,,33.4,,17.4,,19.6,,92.3,,79.0,,5.7,,4.1,,102.1,,102.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Least developed countries,524.8,T,854.7,T,"1,271.6",T,2.7,,2.2,,21.0,,29.1,,17.6,,19.9,,91.1,,77.9,,5.6,,4.1,,102.2,,102.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,"5,290.4",T,"6,908.7",T,"8,308.9",T,1.6,,1.1,,42.6,,50.5,,24.4,,29.1,,65.4,,54.0,,3.1,,2.3,,106.0,,108.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"a. Because data are based on national definitions of what constitutes a city or metropolitan area, cross country comparison should be made with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b. The natural sex ratio at birth is commonly assumed and empirically confirmed to be 105 male births to 100 female births.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c. Includes Taiwan Province of China.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T.  Data are aggregates provided by the original data source.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 1–5 and 8–15: UNDESA (2009d).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Columns 6 and 7: UNDESA (2010).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
